customer_city,seller_city,delivery_performance
santo andre,suzano,1 days 09:23:54.000000000
sao paulo,hortolandia,1 days 09:28:35.000000000
sao jose dos campos,mogi das cruzes,1 days 09:31:46.000000000
osasco,atibaia,1 days 09:37:11.000000000
diadema,praia grande,1 days 09:38:57.000000000
valinhos,santa barbara d'oeste,1 days 09:40:19.000000000
nova iguacu,nova iguacu,1 days 09:44:19.000000000
carapicuiba,sao paulo,1 days 09:45:28.000000000
campo largo,curitiba,1 days 09:46:05.000000000
guarulhos,jundiai,1 days 09:46:53.000000000
campinas,santa barbara d'oeste,1 days 09:49:47.000000000
sao paulo,marilia,1 days 09:53:40.000000000
pinhais,curitiba,1 days 10:05:04.000000000
belo horizonte,contagem,1 days 10:06:08.000000000
natal,natal,1 days 10:07:26.000000000
limeira,sao carlos,1 days 10:16:56.000000000
franco da rocha,jundiai,1 days 10:19:11.000000000
porto alegre,sao paulo,1 days 10:21:08.000000000
porto alegre,santa barbara d´oeste,1 days 10:21:08.000000000
guarulhos,franco da rocha,1 days 10:25:15.000000000
paulinia,sao paulo,1 days 10:28:30.000000000
sao paulo,limeira,1 days 10:30:31.000000000
mogi-guacu,sao paulo,1 days 10:32:53.000000000
sao bernardo do campo,limeira,1 days 10:35:40.000000000
sao paulo,sumare,1 days 10:36:57.000000000
sao paulo,sao jose dos campos,1 days 10:39:32.000000000
barueri,santos,1 days 10:40:20.000000000
campinas,presidente prudente,1 days 10:46:38.000000000
rio de janeiro,niteroi,1 days 10:46:42.000000000
belo horizonte,sete lagoas,1 days 10:47:10.000000000
sao paulo,americana,1 days 10:47:30.000000000
caieiras,santo andre,1 days 10:51:05.000000000
ferraz de vasconcelos,sao paulo,1 days 10:52:12.000000000
sao paulo,indaiatuba,1 days 10:57:07.000000000
sao bernardo do campo,cotia,1 days 11:12:46.000000000
rio de janeiro,uberlandia,1 days 11:15:47.000000000
rio de janeiro,sao paulo,1 days 11:15:47.000000000
sao bernardo do campo,osasco,1 days 11:16:12.000000000
suzano,piracicaba,1 days 11:18:30.000000000
barueri,atibaia,1 days 11:26:25.000000000
sao bernardo do campo,atibaia,1 days 11:28:18.000000000
duque de caxias,lencois paulista,1 days 11:29:09.000000000
duque de caxias,nova iguacu,1 days 11:29:09.000000000
itu,sao paulo,1 days 11:41:41.000000000
monte mor,sao paulo,1 days 11:43:23.000000000
praia grande,cajamar,1 days 11:52:52.000000000
cajamar,praia grande,1 days 11:52:59.000000000
itapevi,osasco,1 days 11:59:59.000000000
volta redonda,volta redonda,1 days 12:00:57.000000000
jacarei,sao paulo,1 days 12:11:30.000000000
sao paulo,maua,1 days 12:17:20.000000000
franca,franca,1 days 12:18:27.000000000
ribeirao pires,sao paulo,1 days 12:24:37.000000000
rio de janeiro,nova iguacu,1 days 12:26:57.000000000
sorocaba,sao paulo,1 days 12:27:47.000000000
piracicaba,barueri,1 days 12:27:50.000000000
atibaia,sao paulo,1 days 12:28:50.000000000
caxias do sul,caxias do sul,1 days 12:40:53.000000000
itapecerica da serra,sao paulo,1 days 12:44:59.000000000
salto,sao paulo,1 days 12:50:06.000000000
salto,guarulhos,1 days 12:50:43.000000000
sao paulo,vicente de carvalho,1 days 12:55:58.000000000
sao paulo,lencois paulista,1 days 12:57:28.000000000
macae,petropolis,1 days 12:59:25.000000000
sao jose,sao jose,1 days 13:00:20.000000000
paulinia,maua,1 days 13:01:26.000000000
sao jose dos campos,hortolandia,1 days 13:08:34.000000000
osasco,santo andre,1 days 13:18:18.000000000
campinas,hortolandia,1 days 13:19:13.000000000
jundiai,campinas,1 days 13:25:10.000000000
sao paulo,mogi guacu,1 days 13:25:25.000000000
limeira,jundiai,1 days 13:28:27.000000000
cubatao,guarulhos,1 days 13:29:37.000000000
carapicuiba,jacarei,1 days 13:30:14.000000000
mogi das cruzes,sao paulo,1 days 13:36:24.000000000
piracicaba,santa barbara d'oeste,1 days 13:39:16.000000000
sao bernardo do campo,sumare,1 days 13:40:43.000000000
porto alegre,canoas,1 days 13:55:17.000000000
sao jose dos campos,ribeirao pires,1 days 13:57:16.000000000
sao jose dos campos,coronel fabriciano,1 days 13:57:16.000000000
taboao da serra,salto,1 days 13:57:23.000000000
ribeirao preto,araraquara,1 days 14:00:42.000000000
franco da rocha,sumare,1 days 14:05:33.000000000
santo andre,limeira,1 days 14:10:12.000000000
niteroi,bom jardim,1 days 14:26:12.000000000
barueri,pedreira,1 days 14:28:34.000000000
curitiba,sao jose dos pinhais,1 days 14:35:14.000000000
taboao da serra,itaquaquecetuba,1 days 14:37:37.000000000
volta redonda,rio de janeiro,1 days 14:37:58.000000000
sao paulo,mogi das cruses,1 days 14:40:10.000000000
valinhos,sao bernardo do campo,1 days 14:40:20.000000000
mogi das cruzes,guarulhos,1 days 14:41:11.000000000
sao paulo,ao bernardo do campo,1 days 14:43:00.000000000
santos,praia grande,1 days 14:46:05.000000000
guarulhos,santo andre,1 days 14:51:03.000000000
valinhos,sao paulo,1 days 14:53:13.000000000
santos,barueri,1 days 15:00:37.000000000
suzano,sao paulo,1 days 15:01:11.000000000
campinas,araras,1 days 15:07:38.000000000
osasco,santos,1 days 15:34:05.000000000
carapicuiba,mogi das cruzes,1 days 15:34:17.000000000
embu das artes,cotia,1 days 15:35:37.000000000
armacao dos buzios,sao joao de meriti,1 days 15:41:43.000000000
petropolis,rio de janeiro,1 days 15:48:03.000000000
contagem,divinopolis,1 days 15:50:41.000000000
sao paulo,mogi das cruzes,1 days 15:51:51.000000000
poa,guaruja,1 days 15:53:01.000000000
sao paulo,itaquaquecetuba,1 days 15:56:22.000000000
campinas,limeira,1 days 15:59:51.000000000
recife,recife,1 days 16:04:46.000000000
presidente prudente,garca,1 days 16:08:40.000000000
jundiai,sao roque,1 days 16:13:13.000000000
carapicuiba,sao caetano do sul,1 days 16:16:47.000000000
santo andre,praia grande,1 days 16:29:05.000000000
sao paulo,cotia,1 days 16:36:21.000000000
osasco,campinas,1 days 16:41:46.000000000
osasco,piracicaba,1 days 16:44:08.000000000
guarulhos,praia grande,1 days 16:44:28.000000000
sorocaba,sao bernardo do campo,1 days 16:46:05.000000000
indaiatuba,sao bernardo do campo,1 days 16:48:28.000000000
campinas,votorantim,1 days 16:49:50.000000000
cotia,belo horizonte,1 days 16:50:57.000000000
sao paulo,rio claro,1 days 16:52:22.000000000
cubatao,sao paulo,1 days 16:54:39.000000000
ribeirao pires,itapecerica da serra,1 days 16:54:50.000000000
niteroi,rio de janeiro,1 days 16:55:26.000000000
leme,rio claro,1 days 16:56:43.000000000
embu das artes,pedreira,1 days 17:03:05.000000000
osasco,hortolandia,1 days 17:09:09.000000000
guarulhos,salto,1 days 17:09:13.000000000
braganca paulista,salto,1 days 17:11:56.000000000
sao paulo,diadema,1 days 17:13:52.000000000
almirante tamandare,curitiba,1 days 17:15:32.000000000
curitiba,colombo,1 days 17:17:26.000000000
sao paulo,mage,1 days 17:17:58.000000000
brasilia,hortolandia,1 days 17:21:35.000000000
itaquaquecetuba,sao paulo,1 days 17:24:28.000000000
hortolandia,guarulhos,1 days 17:27:31.000000000
votorantim,sao paulo,1 days 17:31:58.000000000
rio de janeiro,teresopolis,1 days 17:37:20.000000000
belo horizonte,patos de minas,1 days 17:41:39.000000000
sao paulo,embu guacu,1 days 17:42:28.000000000
carapicuiba,santa barbara d´oeste,1 days 17:55:09.000000000
guaruja,campinas,1 days 17:55:31.000000000
sao paulo,sp,1 days 17:58:08.000000000
indaiatuba,limeira,1 days 17:58:34.000000000
sao bernardo do campo,suzano,1 days 17:58:42.000000000
sao vicente,piracicaba,1 days 18:04:37.000000000
santo andre,santos,1 days 18:07:46.000000000
barueri,sorocaba,1 days 18:09:03.000000000
para de minas,belo horizonte,1 days 18:13:06.000000000
rio de janeiro,sao goncalo,1 days 18:13:56.000000000
sorocaba,guarulhos,1 days 18:16:29.000000000
santo andre,guarulhos,1 days 18:18:26.000000000
campinas,sumare,1 days 18:19:41.000000000
guarulhos,sao paulo - sp,1 days 18:23:05.000000000
valinhos,poa,1 days 18:26:21.000000000
santana de parnaiba,mogi das cruzes,1 days 18:27:29.000000000
campinas,capivari,1 days 18:28:32.000000000
guarulhos,divinopolis,1 days 18:30:38.000000000
campinas,monte siao,1 days 18:32:31.000000000
sorocaba,mogi das cruses,1 days 18:35:10.000000000
maua,americana,1 days 18:35:15.000000000
sao paulo,valinhos,1 days 18:35:51.000000000
jacarei,piracicaba,1 days 18:37:48.000000000
santo andre,mogi das cruzes,1 days 18:37:59.000000000
sao bernardo do campo,mogi das cruzes,1 days 18:44:09.000000000
limeira,santo andre,1 days 18:49:11.000000000
santos,campinas,1 days 18:52:32.000000000
campos dos goytacazes,rio de janeiro,1 days 19:01:11.000000000
cotia,cotia,1 days 19:01:37.000000000
santos,osasco,1 days 19:02:29.000000000
sao jose dos campos,sao bernardo do campo,1 days 19:06:58.000000000
sao joao de meriti,queimados,1 days 19:08:21.000000000
rio de janeiro,barueri,1 days 19:11:18.000000000
carapicuiba,osasco,1 days 19:11:45.000000000
mogi das cruzes,itatiba,1 days 19:15:14.000000000
juiz de fora,juiz de fora,1 days 19:17:49.000000000
artur nogueira,mogi das cruzes,1 days 19:19:14.000000000
santos,guarulhos,1 days 19:22:21.000000000
sao paulo,maringa,1 days 19:24:15.000000000
jundiai,mogi das cruzes,1 days 19:27:07.000000000
itauna,contagem,1 days 19:28:10.000000000
atibaia,guarulhos,1 days 19:29:24.000000000
sao caetano do sul,limeira,1 days 19:31:44.000000000
limeira,pedreira,1 days 19:41:32.000000000
sao roque,sao roque,1 days 19:44:02.000000000
viamao,canoas,1 days 19:45:03.000000000
atibaia,sao  paulo,1 days 19:46:57.000000000
jundiai,santo andre,1 days 19:48:38.000000000
ferraz de vasconcelos,sumare,1 days 19:51:47.000000000
sorocaba,diadema,1 days 19:52:47.000000000
suzano,presidente prudente,1 days 19:53:40.000000000
sao jose dos campos,itapecerica da serra,1 days 19:54:30.000000000
sao paulo,itajai,1 days 19:54:47.000000000
belo horizonte,pedreira,1 days 19:55:02.000000000
mogi das cruzes,sao caetano do sul,1 days 19:57:13.000000000
sao bernardo do campo,guarulhos,1 days 20:01:06.000000000
sorocaba,campinas,1 days 20:04:42.000000000
sao paulo,contagem,1 days 20:07:44.000000000
sao caetano do sul,campo limpo paulista,1 days 20:08:03.000000000
sao jose dos campos,rio claro,1 days 20:09:00.000000000
santos,piracicaba,1 days 20:09:14.000000000
suzano,barueri,1 days 20:09:18.000000000
sao paulo,pradopolis,1 days 20:09:38.000000000
campinas,sao bernardo do campo,1 days 20:13:20.000000000
atibaia,piracicaba,1 days 20:13:41.000000000
rio de janeiro,queimados,1 days 20:14:18.000000000
belo horizonte,sao joao del rei,1 days 20:18:16.000000000
sao paulo,tupa,1 days 20:20:42.000000000
braganca paulista,sao paulo,1 days 20:23:55.000000000
guarulhos,mogi das cruzes,1 days 20:24:54.000000000
santos,sumare,1 days 20:25:56.000000000
sao paulo,jussara,1 days 20:28:01.000000000
marica,rio de janeiro,1 days 20:30:02.000000000
braganca paulista,sorocaba,1 days 20:32:27.000000000
guarulhos,barueri,1 days 20:32:31.000000000
guarulhos,sao carlos,1 days 20:32:45.000000000
votorantim,santa barbara d´oeste,1 days 20:37:36.000000000
barueri,vargem grande paulista,1 days 20:37:49.000000000
barueri,rio de janeiro,1 days 20:37:49.000000000
guarulhos,sao bernardo do campo,1 days 20:38:06.000000000
guapo,goiania,1 days 20:38:21.000000000
maua,santo andre,1 days 20:40:25.000000000
santo andre,salto,1 days 20:40:43.000000000
barueri,barueri,1 days 20:45:01.000000000
sao paulo,santana de parnaiba,1 days 20:46:45.000000000
sao paulo,monte siao,1 days 20:48:21.000000000
suzano,praia grande,1 days 20:51:23.000000000
osasco,sao luis,1 days 20:52:13.000000000
sao vicente,sao paulo,1 days 20:52:31.000000000
praia grande,campinas,1 days 20:52:31.000000000
belford roxo,petropolis,1 days 20:53:33.000000000
sao bernardo do campo,franco da rocha,1 days 20:54:21.000000000
franco da rocha,osasco,1 days 20:55:06.000000000
mairipora,guarulhos,1 days 20:56:37.000000000
carapicuiba,limeira,1 days 20:56:57.000000000
jacarei,atibaia,1 days 20:59:36.000000000
contagem,sete lagoas,1 days 21:01:42.000000000
campinas,sao jose dos campos,1 days 21:01:54.000000000
joinville,joinville,1 days 21:05:51.000000000
florianopolis,itajai,1 days 21:10:17.000000000
itauna,belo horizonte,1 days 21:11:40.000000000
osasco,engenheiro coelho,1 days 21:17:03.000000000
osasco,santa barbara d'oeste,1 days 21:17:05.000000000
sorocaba,votorantim,1 days 21:18:07.000000000
cotia,piracicaba,1 days 21:21:16.000000000
embu das artes,sao paulo,1 days 21:23:35.000000000
barueri,santo andre,1 days 21:26:36.000000000
osasco,sao jose dos campos,1 days 21:26:56.000000000
sao paulo,londrina,1 days 21:31:56.000000000
maua,atibaia,1 days 21:32:14.000000000
sao caetano do sul,guarulhos,1 days 21:33:08.000000000
maua,indaiatuba,1 days 21:36:24.000000000
campinas,santo andre,1 days 21:40:03.000000000
guarulhos,guarulhos,1 days 21:41:37.000000000
braganca paulista,atibaia,1 days 21:42:36.000000000
barra mansa,petropolis,1 days 21:42:36.000000000
guaruja,santa barbara d'oeste,1 days 21:42:55.000000000
sao paulo,bauru,1 days 21:44:11.000000000
franco da rocha,sao paulo,1 days 21:44:24.000000000
jacarei,sbc/sp,1 days 21:45:53.000000000
jaragua do sul,itajai,1 days 21:47:06.000000000
santo andre,taboao da serra,1 days 21:47:15.000000000
itaquaquecetuba,campinas,1 days 21:49:32.000000000
santo andre,piracicaba,1 days 21:49:57.000000000
santo andre,franco da rocha,1 days 21:50:57.000000000
artur nogueira,piracicaba,1 days 21:51:20.000000000
campinas,maua,1 days 21:51:51.000000000
valinhos,sumare,1 days 21:53:01.000000000
jundiai,limeira,1 days 21:57:41.000000000
maua,divinopolis,1 days 21:58:26.000000000
pedreira,salto,1 days 22:01:13.000000000
carapicuiba,guarulhos,1 days 22:02:31.000000000
sao jose dos pinhais,araucaria,1 days 22:02:59.000000000
sao goncalo,queimados,1 days 22:03:32.000000000
belo horizonte,conselheiro lafaiete,1 days 22:03:49.000000000
cajamar,limeira,1 days 22:03:52.000000000
curitiba,indaiatuba,1 days 22:07:40.000000000
sao paulo,taboao da serra,1 days 22:07:54.000000000
cidade ocidental,brasilia,1 days 22:08:24.000000000
campinas,americana,1 days 22:09:18.000000000
betim,belo horizonte,1 days 22:09:24.000000000
maua,guarulhos,1 days 22:09:51.000000000
sao paulo,jaboticabal,1 days 22:14:08.000000000
braganca paulista,guarulhos,1 days 22:14:27.000000000
santa isabel,vargem grande paulista,1 days 22:15:21.000000000
ibipora,toledo,1 days 22:18:21.000000000
ibipora,guaratuba,1 days 22:18:21.000000000
cosmopolis,sao paulo,1 days 22:22:51.000000000
cosmopolis,sao jose do rio preto,1 days 22:22:51.000000000
mairipora,sao paulo,1 days 22:25:08.000000000
sapucaia do sul,porto alegre,1 days 22:28:43.000000000
santa isabel,sao paulo,1 days 22:29:07.000000000
piracicaba,sumare,1 days 22:29:17.000000000
campinas,valinhos,1 days 22:35:05.000000000
porto feliz,jaguariuna,1 days 22:39:02.000000000
sao paulo,botucatu,1 days 22:40:50.000000000
sao paulo,auriflama,1 days 22:40:50.000000000
itaquaquecetuba,rio claro,1 days 22:41:13.000000000
varginha,belo horizonte,1 days 22:42:10.000000000
sao paulo,cravinhos,1 days 22:42:34.000000000
itapecerica da serra,salto,1 days 22:43:08.000000000
carapicuiba,piracicaba,1 days 22:50:15.000000000
sao paulo,sao roque,1 days 22:52:17.000000000
sao paulo,araraquara,1 days 22:54:23.000000000
jandira,piracicaba,1 days 22:55:04.000000000
diadema,sao jose do rio preto,1 days 22:58:28.000000000
diadema,limeira,1 days 23:00:34.000000000
brasilia,sao bernardo do campo,1 days 23:03:30.000000000
caxias do sul,porto alegre,1 days 23:04:32.000000000
santo andre,jaguariuna,1 days 23:07:58.000000000
barueri,sumare,1 days 23:11:01.000000000
indaiatuba,carapicuiba,1 days 23:12:12.000000000
sao paulo,votorantim,1 days 23:13:11.000000000
campos dos goytacazes,tres rios,1 days 23:13:46.000000000
santa barbara d'oeste,campinas,1 days 23:13:59.000000000
vargem grande paulista,sao paulo,1 days 23:16:42.000000000
sao caetano do sul,cajamar,1 days 23:18:49.000000000
mogi das cruzes,jundiai,1 days 23:19:06.000000000
valinhos,santo andre,1 days 23:24:41.000000000
mogi das cruzes,rio de janeiro,1 days 23:25:10.000000000
mogi das cruzes,ibitinga,1 days 23:25:10.000000000
sao bernardo do campo,campinas,1 days 23:25:12.000000000
ferraz de vasconcelos,praia grande,1 days 23:27:34.000000000
guaruja,sao caetano do sul,1 days 23:29:27.000000000
itapevi,poa,1 days 23:30:45.000000000
osasco,cotia,1 days 23:32:38.000000000
sete lagoas,belo horizonte,1 days 23:34:11.000000000
santos,sorocaba,1 days 23:34:15.000000000
itaguai,rio de janeiro,1 days 23:35:16.000000000
sao paulo,ribeirao preto,1 days 23:36:23.000000000
belo horizonte,sao paulo,1 days 23:36:32.000000000
campinas,cotia,1 days 23:36:45.000000000
sao paulo,baependi,1 days 23:38:21.000000000
colombo,curitiba,1 days 23:38:22.000000000
mogi-guacu,itaquaquecetuba,1 days 23:40:01.000000000
francisco morato,campinas,1 days 23:41:38.000000000
sorocaba,salto,1 days 23:43:10.000000000
itatiba,atibaia,1 days 23:45:49.000000000
americana,itatiba,1 days 23:49:28.000000000
ribeirao pires,salto,1 days 23:57:18.000000000
sao roque,sao paulo,1 days 23:57:39.000000000
sao paulo,braganca paulista,1 days 23:58:23.000000000
campinas,garulhos,1 days 23:59:23.000000000
vespasiano,belo horizonte,2 days 00:00:19.000000000
rio de janeiro,santa barbara d´oeste,2 days 00:01:15.000000000
sao bernardo do campo,sorocaba,2 days 00:02:35.000000000
sao jose do rio preto,sao paulo,2 days 00:04:16.000000000
sao paulo,campo limpo paulista,2 days 00:04:49.000000000
sao paulo,presidente prudente,2 days 00:06:55.000000000
limeira,campinas,2 days 00:09:16.000000000
suzano,santo andre,2 days 00:10:30.000000000
sao paulo,suzano,2 days 00:11:56.000000000
aparecida de goiania,goiania,2 days 00:12:49.000000000
goiania,sao paulo,2 days 00:13:40.000000000
sao jose dos campos,sao jose dos campos,2 days 00:14:04.000000000
jaguariuna,santa barbara d´oeste,2 days 00:16:12.000000000
jacarei,guarulhos,2 days 00:16:15.000000000
mogi das cruzes,mogi das cruzes,2 days 00:16:40.000000000
rio claro,campinas,2 days 00:20:28.000000000
guarulhos,atibaia,2 days 00:20:59.000000000
carapicuiba,atibaia,2 days 00:25:29.000000000
franco da rocha,campinas,2 days 00:26:56.000000000
poa,guarulhos,2 days 00:27:14.000000000
sao jose dos campos,sao paulo - sp,2 days 00:27:21.000000000
franco da rocha,guarulhos,2 days 00:28:58.000000000
cajamar,sao paulo,2 days 00:29:21.000000000
sao jose dos pinhais,curitiba,2 days 00:32:31.000000000
cotia,jacarei,2 days 00:33:14.000000000
santos,jundiai,2 days 00:33:14.000000000
santo andre,rio claro,2 days 00:37:04.000000000
sao paulo,registro,2 days 00:39:49.000000000
sorocaba,sao  paulo,2 days 00:42:13.000000000
guarulhos,sao jose dos campos,2 days 00:43:25.000000000
sao miguel do tapuio,teresina,2 days 00:44:05.000000000
santos,cajamar,2 days 00:48:25.000000000
rio claro,sao carlos,2 days 00:48:37.000000000
santo andre,santa barbara d´oeste,2 days 00:50:54.000000000
piracicaba,salto,2 days 00:51:18.000000000
sao bernardo do campo,sao bernardo do campo,2 days 00:52:02.000000000
barueri,jacarei,2 days 00:54:14.000000000
taboao da serra,praia grande,2 days 00:56:12.000000000
sorocaba,praia grande,2 days 00:56:36.000000000
sao goncalo,rio de janeiro,2 days 00:57:21.000000000
